NAMESPACE     NAME                                      READY   STATUS    RESTARTS   AGE
aqua          aqua-db-5549d8f7bc-48dd7                  1/1     Running   0          29h
aqua          aqua-gateway-7577fd8bbf-zrrxg             1/1     Running   0          29h
aqua          aqua-kube-enforcer-7f8d6465cf-sl68t       1/1     Running   0          6m33s
aqua          aqua-web-6c78948899-8tsv4                 1/1     Running   0          29h
default       aacnbkrmf-549cbb74f5-26wwj                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-296ss                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-2gmb8                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-8vdlb                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-jr4p2                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-ktkxz                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-r8n46                1/1     Running   0          40m
default       aacnbkrmf-549cbb74f5-v8v5h                1/1     Running   0          40m
default       afavmhdaf-547dc978f4-fvhq9                1/1     Running   0          8h
default       afavmhdaf-547dc978f4-gbsgj                1/1     Running   0          8h
default       amicrzchx-5969fd4c7b-6h2kr                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-cf5t2                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-drz8f                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-gzjjz                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-lsr2q                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-mvcb7                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-n52t5                1/1     Running   0          21m
default       amicrzchx-5969fd4c7b-zhw8r                1/1     Running   0          21m
default       atomqqvfl-6cc6bc85cf-gzwf9                1/1     Running   0          13m
default       atomqqvfl-6cc6bc85cf-pjql8                1/1     Running   0          13m
default       avaimbeel-5fd97bccb5-ckv6t                1/1     Running   0          8h
default       avaimbeel-5fd97bccb5-zcbmx                1/1     Running   0          8h
default       avbxvknrc-847db98d5-jhfz5                 1/1     Running   0          13m
default       avbxvknrc-847db98d5-vkzz2                 1/1     Running   0          13m
default       bhrgtoygy-9bcbbd5bf-6ptmn                 1/1     Running   6          8h
default       bhrgtoygy-9bcbbd5bf-ltv5f                 1/1     Running   6          8h
default       biyfnngsj-6c697fb698-kpjz8                1/1     Running   0          13m
default       biyfnngsj-6c697fb698-wpwc9                1/1     Running   0          13m
default       bmerzgcum-7bd8865c98-8kwdl                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-8sz2b                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-bcwc7                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-ppr9j                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-rmbxj                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-svbrz                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-x4tgh                1/1     Running   0          39m
default       bmerzgcum-7bd8865c98-zffph                1/1     Running   0          39m
default       bnxjvothq-6f5b6b588c-l7rm4                1/1     Running   0          13m
default       bnxjvothq-6f5b6b588c-sfsqt                1/1     Running   0          13m
default       bokqpilab-7784f5f558-snpdq                1/1     Running   6          8h
default       bokqpilab-7784f5f558-xqk75                1/1     Running   6          8h
default       bygvboyvu-6456ccc858-2lwqp                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-9gjtl                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-9pgdv                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-j8qkx                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-t9mdj                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-tr24z                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-wfssd                1/1     Running   0          39m
default       bygvboyvu-6456ccc858-x4t9q                1/1     Running   0          39m
default       ccwiqf-57c59c79d4-689f2                   1/1     Running   0          8h
default       ccwiqf-57c59c79d4-zpjk2                   1/1     Running   0          8h
default       cduimhfnu-7976c7d597-96frx                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-blw8b                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-fcbck                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-n2h4l                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-nnt74                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-qbxl4                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-x9pm5                1/1     Running   0          39m
default       cduimhfnu-7976c7d597-xbpcm                1/1     Running   0          39m
default       ceujekthb-7f7f749896-962b5                1/1     Running   0          8h
default       ceujekthb-7f7f749896-bls25                1/1     Running   0          8h
default       cigyvpmzy-9bf665955-fx58j                 1/1     Running   0          13m
default       cigyvpmzy-9bf665955-lqtl9                 1/1     Running   0          13m
default       cjjraxtqa-f4fbf998c-447h2                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-7t8kk                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-8dt7w                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-9pjwv                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-dnb8v                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-dsgnt                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-p4ntd                 1/1     Running   0          21m
default       cjjraxtqa-f4fbf998c-sjs6d                 1/1     Running   0          21m
default       clgoatmdt-746b598c4c-5r4pp                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-cz86p                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-fgrdt                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-fhb6x                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-g8fbz                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-mgn7b                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-qqwjc                1/1     Running   0          21m
default       clgoatmdt-746b598c4c-tr4rc                1/1     Running   0          21m
default       demo-deployment-6f7656cc59-kcmqj          1/1     Running   0          8h
default       demo-deployment-6f7656cc59-pjj8m          1/1     Running   0          8h
default       dgfwfxfil-54cf4b55d4-ltnwx                1/1     Running   0          13m
default       dgfwfxfil-54cf4b55d4-phgsz                1/1     Running   0          13m
default       dncpvgpcw-7bff5446c6-5wtrl                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-9thg6                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-l5mrv                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-nxll6                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-rm4f7                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-rqrj6                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-s9nws                1/1     Running   0          39m
default       dncpvgpcw-7bff5446c6-tkbj2                1/1     Running   0          39m
default       dsqmtdzyz-857545b79f-257s8                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-2zl54                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-654sw                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-6rqmq                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-b2pzj                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-bnhtn                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-q9z2h                1/1     Running   0          21m
default       dsqmtdzyz-857545b79f-xb2dw                1/1     Running   0          21m
default       duysrgemh-5965746986-djkj9                1/1     Running   0          13m
default       duysrgemh-5965746986-rjcj7                1/1     Running   0          13m
default       dvbgshbwc-d9d4b6c5b-p682d                 1/1     Running   0          13m
default       dvbgshbwc-d9d4b6c5b-rbvft                 1/1     Running   0          13m
default       dwvfzqxay-6798d4d7b-26c2f                 1/1     Running   0          13m
default       dwvfzqxay-6798d4d7b-bn49t                 1/1     Running   0          13m
default       eakgjaube-6987f44957-kwnxj                1/1     Running   0          13m
default       eakgjaube-6987f44957-mhbql                1/1     Running   0          13m
default       eetfeywia-68f4fc8c45-g44fx                1/1     Running   0          13m
default       eetfeywia-68f4fc8c45-rgdmg                1/1     Running   0          13m
default       ejyjsrvnx-c4d49786b-58zl7                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-5dbn2                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-664ld                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-87znv                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-j5q9p                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-jb729                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-n9s9z                 1/1     Running   0          21m
default       ejyjsrvnx-c4d49786b-rr5ht                 1/1     Running   0          21m
default       emfmstmeh-6fff5f7f47-2dlgq                1/1     Running   0          13m
default       emfmstmeh-6fff5f7f47-852gq                1/1     Running   0          13m
default       ezuhbjsej-5bdc698d77-5nz46                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-889l5                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-8rmhx                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-f6bnw                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-f8524                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-jnvcw                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-kgcdr                1/1     Running   0          39m
default       ezuhbjsej-5bdc698d77-qpjdz                1/1     Running   0          39m
default       faaokrowb-6d7c4f6cf6-knz6d                1/1     Running   0          13m
default       faaokrowb-6d7c4f6cf6-pxpzc                1/1     Running   0          13m
default       fetonqsgu-7f5798665d-ttdsr                1/1     Running   0          13m
default       fetonqsgu-7f5798665d-vc5qh                1/1     Running   0          13m
default       fpqrbrobt-75bb9947b4-7v4dw                1/1     Running   0          13m
default       fpqrbrobt-75bb9947b4-hkbhw                1/1     Running   0          13m
default       fwjlroszr-6ffb5dd69d-d6tnv                1/1     Running   0          13m
default       fwjlroszr-6ffb5dd69d-tqgxn                1/1     Running   0          13m
default       gbrppduya-57d4d9f779-62ttf                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-dfqv4                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-fclqw                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-fjx97                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-q2dc9                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-qhbxp                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-r2zrd                1/1     Running   0          39m
default       gbrppduya-57d4d9f779-zn7h2                1/1     Running   0          39m
